name,address,plate
饗 くろ㐂,〒101-0024 東京都千代田区神田和泉町2-15,
麺処 ほん田 秋葉原本店,〒101-0028 東京都千代田区神田花岡町1-19,
青島食堂 秋葉原店,〒101-0025 東京都千代田区神田佐久間町3-20-1 大杉ビル1F,
Tokyo Style Noodle ほたて日和,〒101-0025 東京都千代田区神田佐久間町2-25 梅屋ビル1階,
IEKEI_TOKYO 王道家直系,〒101-0021 東京都千代田区外神田5丁目2-7 外神田下村ビル,
カラシビ味噌らー麺 鬼金棒,〒101-0044 東京都千代田区鍛冶町2-10-9,
らーめん天神下 大喜,〒110-0016 東京都台東区台東2-4-4,
『 』（無銘）,〒101-0042 東京都千代田区神田東松下町49-8,
田中そば店 秋葉原店,〒101-0021 東京都千代田区外神田3-8-3 第1針谷ビル 1階,
スパイス・ラー麺 卍力 秋葉原店,〒110-0016 東京都台東区台東1-10-5,
秋葉原ラーメン わいず,東京都千代田区外神田3-7-8,
麺屋武蔵 武仁,東京都千代田区神田佐久間町2-18-5,
富白 御徒町本店,〒110-0016 東京都台東区台東3-14-10,
超ごってり麺 ごっつ 秋葉原店,東京都千代田区神田松永町18-1 ビオレ秋葉原 1F,
家系らーめん 武将家 外伝,〒101-0023 東京都千代田区神田松永町16,
麺屋武蔵 巌虎,東京都千代田区外神田1-3-9 木倉ビル1・2F,
家系らーめん 武将家,〒101-0021 東京都千代田区外神田4丁目2-7,
ウミのチカラ,〒110-0016 東京都台東区台東1-32-6 小島ビル,
鶏そば鯛そば きょうすけ,〒101-0021 東京都千代田区外神田3-12-2-1F/2F,
らーめん藪づか,〒110-0005 東京都台東区上野3-13-1 西武ビル1階,
